,index,country,date_added,release_year,rating,listed_in
0,11,United States,2019-11-29,2019,TV-PG,Reality TV
1,15,United States,2019-11-29,2019,TV-MA,Docuseries
2,16,United States,2019-11-28,2019,TV-PG,"Children & Family Movies, Dramas"
3,19,United States,2019-11-28,2019,TV-PG,TV Comedies
4,22,United States,2019-11-27,2019,TV-14,Docuseries
5,27,United States,2019-11-27,2019,R,Dramas
6,28,United States,2019-11-26,2019,TV-MA,Stand-Up Comedy
7,29,United States,2019-11-26,2019,TV-Y,Children & Family Movies
8,36,United States,2019-11-24,2019,TV-MA,Thrillers
9,47,United States,2019-11-22,2019,TV-14,TV Dramas
11,52,United States,2019-11-22,2019,TV-MA,"Crime TV Shows, Docuseries"
12,54,United States,2019-11-22,2019,TV-14,"Documentaries, Sports Movies"
14,60,United States,2019-11-21,2019,TV-14,"Children & Family Movies, Comedies, Romantic Movies"
15,66,United States,2019-11-20,2019,TV-MA,Documentaries
16,96,United States,2019-11-19,2019,TV-MA,Stand-Up Comedy
17,107,United States,2019-11-15,2019,R,"Dramas, Romantic Movies"
18,112,United States,2019-11-15,2019,TV-MA,Reality TV
21,130,United States,2019-11-14,2019,TV-MA,"Documentaries, Music & Musicals"
23,136,United States,2019-11-12,2019,TV-MA,Stand-Up Comedy
24,139,United States,2019-11-11,2019,TV-MA,"Action & Adventure, Dramas"
25,140,United States,2019-11-11,2019,TV-MA,Documentaries
26,147,United States,2019-11-08,2019,PG-13,"Comedies, Dramas, LGBTQ Movies"
27,152,United States,2019-11-06,2019,TV-MA,Dramas
28,158,United States,2019-11-05,2019,TV-MA,Stand-Up Comedy
30,163,United States,2019-11-05,2019,R,Comedies
31,173,United States,2019-11-04,2019,TV-MA,"Crime TV Shows, Docuseries"
32,196,United States,2019-11-01,2019,TV-MA,Dramas
34,205,United States,2019-11-01,2019,TV-PG,"Children & Family Movies, Comedies"
35,219,United States,2019-11-01,2019,TV-MA,Documentaries
36,262,United States,2019-11-01,2019,TV-PG,"Children & Family Movies, Comedies, Romantic Movies"
